timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1528449999205707,-9,-14,-61,-44,-9,-7,-5,-3
1528449999205707,-13,-3,-4,10,7,14,0,9
1528449999212689,4,-3,-2,-11,6,-1,0,0
1528449999212689,-25,16,52,18,-14,-30,-4,-2
1528449999236623,8,-9,-51,-17,-4,4,-1,-2
1528449999236623,-5,-5,-39,-37,9,18,0,4
1528449999237620,4,-6,15,24,12,4,22,-2
1528449999237620,-3,4,65,29,6,9,-19,-2
1528449999251583,4,7,8,-3,-3,-25,2,-8
1528449999251583,-2,-24,-67,-26,-30,-33,-3,-9
1528449999251583,-46,24,-11,-2,-7,8,-16,-15
1528449999251583,25,-17,36,11,5,24,18,18
1528449999273582,-11,-7,-21,-29,-17,-6,1,-7
1528449999273582,0,3,-1,20,26,18,14,5
1528449999274523,8,-13,-10,-4,10,-7,-21,-8
1528449999274523,5,-7,-59,-9,1,-3,11,-2
1528449999296517,-13,6,34,4,-10,-7,-3,-6
1528449999296517,-35,6,57,28,-26,-14,-25,-8
1528449999297460,67,-10,-76,-43,14,14,16,20
1528449999297460,-39,19,41,18,30,3,-21,-33
1528449999311422,36,-16,-69,-26,-3,3,6,4
1528449999311422,15,31,48,21,-14,-17,8,-1
1528449999312421,-28,-30,31,18,-15,0,-3,4
1528449999312421,-14,-25,-67,-31,-22,-1,-7,-4
1528449999333365,28,11,2,-7,5,-6,2,5
1528449999333365,5,31,12,0,7,-12,-3,-7
1528449999334361,31,22,65,27,-14,0,0,6
1528449999334361,11,2,-24,-11,28,29,5,13
1528449999357315,-39,-15,30,38,17,9,-13,-1
1528449999357315,-11,-6,14,-1,4,4,8,-10
1528449999357315,14,4,-50,-30,-18,-31,-7,-1
1528449999357315,13,-4,-7,-19,-29,-21,-7,-5
1528449999371263,8,19,57,18,-7,-1,0,-2
1528449999371263,2,-10,-19,5,19,19,-6,5
1528449999372261,-28,-4,3,-13,10,3,-1,-4
1528449999372261,7,3,13,17,-3,-5,3,4
1528449999393204,6,6,75,14,0,-14,-12,-2
1528449999393204,-17,6,-39,-18,-9,0,9,-3
1528449999394216,-18,-50,-41,-21,-15,-7,-11,-18
1528449999394216,14,23,2,12,10,6,12,10
1528449999417143,-4,7,14,6,3,3,0,0
1528449999417143,17,-2,-2,-3,-10,-2,-5,4
1528449999418138,-23,-5,-27,-19,-5,-16,-17,0
1528449999418138,0,-2,-14,8,2,5,26,5
1528449999431123,-17,-3,-14,-5,8,16,1,-8
1528449999431123,-5,0,-14,1,-1,3,3,-1
1528449999432101,12,-11,19,9,9,-3,-13,6
1528449999432101,-10,-3,-29,-32,-17,-15,-7,-3
1528449999454069,-5,-11,34,17,-4,4,-1,-10
1528449999454069,-7,4,16,-8,4,6,-2,-12
1528449999454069,-4,-12,-8,13,-1,-4,11,-1
1528449999454069,0,1,15,18,14,9,-7,1
1528449999477021,5,7,-47,-31,-8,-9,-8,3
1528449999477021,-5,-9,34,10,-3,-6,0,-5
1528449999477979,3,9,16,7,-3,2,1,-5
1528449999477979,-7,2,31,8,-1,-2,-3,-1
1528449999490993,2,-15,-79,-27,-2,5,1,3
1528449999490993,-3,-6,2,-3,0,2,-1,5
1528449999491957,13,21,0,-9,0,-7,-8,4
1528449999491957,0,-6,20,17,6,9,-3,-7
1528449999513921,-5,0,0,15,0,-9,-7,2
1528449999513921,-8,-7,-17,-16,-8,-1,-3,-1
1528449999514924,4,6,15,13,0,6,-1,10
1528449999514924,-3,-13,-55,-42,-16,-24,-15,-5
1528449999536821,5,7,35,37,13,7,8,-10
1528449999536821,-1,-2,-40,-27,-5,-1,2,6
1528449999537818,15,10,10,-8,4,8,8,13
1528449999537818,-8,0,-8,-3,-3,-6,-1,-5
1528449999550836,-7,1,34,30,8,0,-4,-3
1528449999550836,1,-2,-9,-8,-16,-20,-10,-5
1528449999551781,-3,8,34,44,-1,7,7,-9
1528449999551781,10,5,-25,-21,11,20,2,12
1528449999573724,1,6,15,-23,5,11,16,7
1528449999573724,-2,-11,-23,21,5,-7,-12,-5
1528449999574720,-3,8,65,17,-4,-19,-7,-8
1528449999574720,-4,-2,-6,4,-8,-10,1,0
1528449999596661,3,3,3,2,2,8,5,8
1528449999596661,0,-16,-71,-55,-10,3,-2,2
1528449999597659,5,-2,-17,-17,6,3,3,5
1528449999597659,1,4,39,25,0,-7,1,-7
1528449999611622,-3,-4,-34,-11,-6,-5,-6,-4
1528449999611622,30,-3,62,-8,-5,-8,-4,-4
1528449999612619,-25,-15,-43,16,2,3,-4,-11
1528449999612619,12,6,-21,-7,9,2,-4,4
1528449999633563,-6,-2,6,11,-3,2,-1,3
1528449999633563,-13,-2,-18,-11,1,1,-7,2
1528449999634560,22,15,6,-28,-5,6,13,11
1528449999634560,-4,-13,16,0,-16,-17,-5,-8
1528449999656541,-12,-6,-6,12,-5,-2,-5,-10
1528449999656541,11,0,-9,6,17,13,4,6
1528449999657499,5,-4,-25,15,11,5,3,0
1528449999657499,-7,15,31,-30,-24,-8,-5,-3
1528449999671461,1,-3,-1,-8,-24,-17,-2,-5
1528449999671461,-12,-8,-13,-11,28,15,5,-3
1528449999671461,5,14,64,17,6,1,1,2
1528449999671461,1,-19,-110,-69,-6,-5,0,11
1528449999693404,20,13,72,55,12,23,12,-7
1528449999693404,-19,0,-3,20,-8,-3,8,10
1528449999694401,2,-6,-11,-13,-3,1,-2,-11
1528449999694401,36,7,4,22,15,11,-6,16
1528449999717339,-15,-13,-22,-26,-10,-15,-20,3
1528449999717339,18,21,11,-7,0,4,16,11
1528449999717339,-1,9,-2,-2,0,-1,-4,-6
1528449999717339,-1,13,97,33,10,2,2,-6
1528449999731303,-13,-47,-101,-16,-13,-14,-11,-3
1528449999731303,-14,-16,-31,-4,-10,-14,14,-6
1528449999732326,-5,1,3,-24,-6,2,2,-1
1528449999732326,4,2,14,12,-9,-3,-1,2
1528449999753244,16,29,35,-9,6,9,5,2
1528449999753244,6,-28,-28,-2,6,-7,-20,-5
1528449999754240,-16,-31,-45,-15,-20,-21,-9,-11
1528449999754240,-8,9,25,32,9,21,40,4
1528449999777178,-10,4,0,-17,-7,-7,-3,-7
1528449999777178,10,19,39,29,7,9,-4,-1
1528449999778176,-7,-24,-57,-41,-8,-11,-10,-10
1528449999778176,-20,-2,7,3,-10,-8,-20,-11
1528449999790143,0,-14,28,-6,2,-4,-4,3
1528449999790143,22,25,-34,-13,-5,-1,-3,6
1528449999799121,-28,-4,60,-5,-2,-8,5,-4
1528449999799121,-14,-20,38,66,16,7,8,-4
1528449999814081,-11,29,13,-9,1,4,-6,-1
1528449999814081,19,-20,-22,-20,-3,-7,-10,-1
