timestamp,x,y,z
1528873804942058,-87.5625,38.875,100.68799999999999
1528873804957017,-84.0,43.0,122.125
1528873804980952,-76.0,49.25,142.125
1528873805003892,-73.5,52.1875,160.688
1528873805056750,-75.8125,55.625,177.813
1528873805057747,-75.3125,56.3125,193.0
1528873805064729,-71.5625,53.6875,203.625
1528873805077694,-57.625,53.0625,212.625
1528873805099636,-39.6875,53.375,220.063
1528873805121577,-23.875,54.625,224.375
1528873805136536,-13.375,51.0,225.5
1528873805159475,1.125,52.3125,226.125
1528873805181417,19.375,53.3125,224.188
1528873805196377,34.8125,55.9375,215.563
1528873805219315,44.9375,56.0,197.563
1528873805241257,44.6875,48.5,179.688
1528873805256217,57.5625,39.625,164.438
1528873805279155,62.0,32.4375,143.313
1528873805301096,55.375,23.1875,118.93799999999999
1528873805318052,43.0,6.375,104.0
1528873805338995,25.1875,-9.75,87.5625
1528873805361934,-0.4375,-13.25,76.3125
1528873805376894,-11.1875,2.4375,52.0625
1528873805398835,-17.375,9.75,44.75
1528873805421774,-9.125,-3.0,58.5
1528873805436734,-10.6875,-27.5,69.9375
1528873805458675,-2.6875,-45.8125,51.8125
1528873805481614,-11.6875,-31.25,16.875
1528873805496574,-2.6875,6.375,-14.6875
1528873805519514,11.0,40.0,-38.8125
1528873805541454,-1.25,45.5,-37.625
1528873805556414,9.0625,31.8125,-28.4375
1528873805579354,4.5,9.3125,-8.75
1528873805601295,3.5,3.125,-4.25
1528873805616254,1.3125,7.6875,2.25
1528873805639193,-4.875,-7.3125,19.5625
1528873805654153,-6.5,-34.5625,36.9375
1528873805677159,-6.875,-52.4375,44.0
1528873805699104,0.8125,-30.25,28.625
1528873805714100,15.75,6.0625,2.0
1528873805737029,21.4375,32.25,-23.4375
1528873805758956,7.1875,36.25,-35.6875
1528873805773923,2.375,29.8125,-31.625
1528873805796841,-1.0625,22.0,-27.125
1528873805818843,-3.875,12.75,-20.25
1528873805833743,-2.25,2.9375,-14.375
1528873805856218,-7.5,-9.75,-9.0
1528873805879280,-12.6875,-18.375,-4.125
1528873805894173,-12.1875,-19.1875,-0.5625
1528873805916062,-6.125,-14.25,1.3125
1528873805939146,-2.1875,-8.5625,1.1875
1528873805955266,-1.0,-4.75,-1.9375
1528873805984571,0.8125,-1.25,-8.4375
1528873805999369,-0.1875,1.8125,-19.5625
1528873806015417,-4.3125,4.4375,-34.5625
1528873806039900,-11.0,5.3125,-51.9375
1528873806058706,-11.9375,5.0,-71.9375
1528873806076736,-15.8125,-0.625,-89.5625
1528873806099772,-23.1875,-7.375,-105.875
1528873806118751,-32.5,-14.5625,-123.5
1528873806137073,-33.3125,-19.1875,-139.188
1528873806159435,-26.9375,-22.3125,-158.25
1528873806179293,-24.75,-29.5,-176.875
1528873806197502,-25.5,-38.125,-180.813
1528873806219442,-15.5,-39.9375,-179.563
1528873806239627,-7.125,-41.1875,-181.75
1528873806256579,5.5625,-45.625,-181.938
1528873806278536,17.0625,-50.875,-175.875
1528873806299465,8.9375,-55.6875,-171.75
1528873806316420,1.375,-51.125,-172.75
1528873806338360,15.8125,-47.5,-164.75
1528873806359357,36.4375,-44.75,-160.0
1528873806376260,44.6875,-43.5,-166.125
1528873806398218,45.6875,-42.1875,-171.875
1528873806420141,39.1875,-42.625,-175.0
1528873806436111,44.5625,-41.6875,-164.438
1528873806459039,57.125,-42.3125,-151.625
1528873806480027,70.625,-44.9375,-142.188
1528873806495939,77.125,-46.8125,-133.25
1528873806518913,74.75,-48.6875,-124.625
1528873806539867,69.5625,-49.6875,-115.31299999999999
1528873806555825,68.8125,-47.25,-105.18799999999999
1528873806578719,67.5,-43.875,-92.4375
1528873806599695,60.25,-38.6875,-79.875
1528873806616653,48.8125,-33.0625,-66.875
1528873806638762,34.625,-28.3125,-54.6875
