timestamp,x,y,z
1529292171469771,-211.0,12.875,203.125
1529292171492674,-162.0,-3.75,228.313
1529292171507634,-63.1875,-18.75,246.813
1529292171529579,34.0625,-19.375,275.063
1529292171552548,98.75,-20.4375,314.063
1529292171567521,115.18799999999999,-44.5,339.31300000000005
1529292171589417,131.875,-60.0625,336.31300000000005
1529292171612354,130.813,-28.375,326.0
1529292171627350,102.625,8.9375,322.438
1529292171649293,81.9375,-6.9375,324.438
1529292171672195,68.0,-60.0,319.625
1529292171687163,60.3125,-93.375,305.875
1529292171710128,68.0625,-83.6875,290.313
1529292171732035,101.18799999999999,-58.375,266.625
1529292171746995,147.75,-43.875,234.438
1529292171769934,174.063,-40.4375,214.5
1529292171791915,155.063,-40.1875,213.5
1529292171829773,61.0,-77.5625,201.875
1529292171852754,-10.3125,-120.06299999999999,179.625
1529292171889897,-37.9375,-118.125,138.0
1529292171927614,-23.0,-131.0,110.125
1529292171971940,45.125,-91.8125,64.5
1529292172009806,-7.375,-80.4375,27.125
1529292172032874,-11.125,-61.9375,2.9375
1529292172069827,9.5,-50.6875,7.3125
1529292172092557,15.5625,-48.1875,-1.1875
1529292172137632,-5.0,-20.125,4.4375
1529292172159934,-11.375,6.375,9.625
1529292172190258,14.6875,17.6875,-17.125
1529292172205036,11.0,19.25,-2.6875
1529292172227717,-9.6875,33.8125,0.6875
1529292172242527,-35.875,57.5,-4.375
1529292172264678,-54.0,85.75,-7.125
1529292172287177,-62.0,113.81299999999999,-5.3125
1529292172302137,-69.125,125.68799999999999,6.3125
1529292172325099,-63.1875,117.81299999999999,32.6875
1529292172347062,-61.9375,122.68799999999999,52.5625
1529292172362022,-55.125,149.625,63.1875
1529292172384964,-53.625,159.563,64.4375
1529292172406902,-44.8125,134.563,61.4375
1529292172421818,-27.8125,112.25,54.9375
1529292172444804,-9.125,117.125,59.875
1529292172466741,1.75,118.5,61.375
1529292172489680,9.6875,92.25,51.4375
1529292172504595,16.3125,64.0625,35.8125
1529292172527574,16.5625,61.9375,24.6875
1529292172549521,21.6875,67.1875,18.0625
1529292172564484,26.0625,48.625,11.3125
1529292172587374,16.0625,20.8125,6.0625
1529292172609361,4.875,8.625,6.5
1529292172624310,0.125,12.875,4.4375
1529292172647393,8.375,8.8125,-4.0
1529292172669732,17.625,-2.375,-15.3125
1529292172685369,21.625,-9.0625,-21.75
1529292172707018,14.125,-4.0625,-28.75
1529292172729773,3.5625,4.3125,-28.9375
1529292172745141,-2.0,13.3125,-32.3125
1529292172767908,-2.5,14.8125,-44.0625
1529292172790512,-2.125,14.8125,-65.1875
1529292172805173,-2.3125,27.1875,-90.25
1529292172827179,-0.125,41.875,-104.18799999999999
1529292172850121,-3.6875,48.125,-114.31299999999999
1529292172865324,-20.875,50.0,-135.188
1529292172887825,-25.75,61.0625,-160.938
1529292172909642,-22.0625,74.4375,-185.688
1529292172924784,-19.125,77.375,-199.563
1529292172947721,-26.8125,71.0,-230.375
1529292172969651,-24.5,69.875,-254.5
1529292172985225,-12.25,67.0625,-264.5
1529292173007890,-25.4375,67.125,-274.813
1529292173029752,-44.625,66.6875,-295.75
1529292173044712,-27.5625,58.4375,-311.563
1529292173066692,-21.375,44.8125,-313.563
1529292173089595,-29.125,41.25,-294.25
1529292173104847,-14.5,44.6875,-288.938
1529292173127655,-14.0,35.25,-301.938
1529292173150063,-14.1875,19.125,-292.063
1529292173164933,3.375,-0.375,-222.563
1529292173186993,18.1875,-3.0,-152.625
1529292173209546,11.6875,9.75,-162.0
1529292173224689,-19.4375,36.75,-229.313
1529292173247625,-34.375,42.75,-250.625
1529292173269733,-9.25,6.625,-188.5
1529292173284530,25.0625,-7.4375,-112.25
1529292173307421,42.4375,7.9375,-102.5
1529292173330139,39.75,23.1875,-139.375
1529292173345326,23.5,21.4375,-169.438
1529292173360481,65.125,63.5625,-80.8125
1529292173382811,-34.4375,59.5625,-77.75
