timestamp,x,y,z
1529297166022743,-44.6875,14.4375,91.5
1529297166038696,-34.9375,17.75,109.81299999999999
1529297166089561,-19.875,24.0625,126.93799999999999
1529297166101530,-2.9375,29.3125,142.75
1529297166102529,15.25,34.0,162.938
1529297166120481,28.6875,40.8125,183.75
1529297166135439,33.1875,48.25,200.375
1529297166158377,25.0,55.8125,213.438
1529297166202260,11.4375,60.0625,224.063
1529297166227192,-0.9375,62.6875,233.063
1529297166234175,-5.5,62.875,241.188
1529297166240159,-11.9375,55.4375,246.0
1529297166262100,-23.5,48.0,249.375
1529297166285066,-23.3125,40.625,253.813
1529297166300996,-18.9375,33.5,255.063
1529297166323934,-29.75,28.625,244.375
1529297166346873,-38.3125,19.625,221.313
1529297166361833,-43.3125,13.5,192.5
1529297166383775,-26.75,7.3125,169.375
1529297166406714,-1.5,2.3125,141.875
1529297166427658,16.375,-1.25,107.75
1529297166443614,34.0,-12.8125,78.0
1529297166466561,53.0,-33.1875,39.5
1529297166487497,73.3125,-63.875,-5.625
1529297166504452,73.0,-98.5625,-48.5
1529297166526435,79.5,-136.813,-93.875
1529297166547390,42.3125,-93.375,-128.688
1529297166564328,-8.8125,-10.25,-84.5
1529297166586288,69.1875,19.9375,46.0625
1529297166607214,3.4375,60.4375,74.75
1529297166624132,-150.813,70.3125,46.75
1529297166646073,-104.68799999999999,85.8125,50.375
1529297166667017,-44.1875,111.56299999999999,43.5625
1529297166683973,10.5,127.06299999999999,53.4375
1529297166706910,44.8125,145.563,53.0
1529297166727882,37.5625,159.813,46.25
1529297166743818,2.125,166.438,35.625
1529297166766755,-13.3125,169.688,20.1875
1529297166787733,0.5625,174.5,1.4375
1529297166803651,24.75,179.125,-20.375
1529297166826592,38.875,181.063,-45.5
1529297166847566,48.75,183.0,-71.25
1529297166864497,49.3125,180.938,-95.5625
1529297166886436,42.125,176.063,-119.18799999999999
1529297166907374,34.9375,167.875,-145.625
1529297166924330,34.9375,161.188,-180.188
1529297166946514,45.5,152.813,-213.563
1529297166967458,40.875,137.875,-237.563
1529297166984433,40.1875,106.25,-255.375
1529297166997416,3.875,68.6875,-236.875
1529297167012391,-28.875,38.9375,-188.563
1529297167034328,-25.125,36.9375,-136.938
1529297167057218,-2.25,25.25,-90.8125
1529297167072218,7.5625,20.25,-39.125
1529297167094277,-1.1875,17.25,-10.875
1529297167117251,-20.125,13.4375,4.875
1529297167132211,-29.8125,8.5625,23.625
1529297167163128,-14.5,-0.625,35.375
1529297167177130,0.125,-11.1875,40.0
1529297167195072,3.0625,-21.625,37.0
1529297167225177,13.3125,-30.125,27.8125
1529297167237308,30.5625,-39.375,15.875
1529297167255096,48.3125,-49.9375,3.0
1529297167274207,61.375,-61.125,-12.6875
1529297167297350,72.0,-71.3125,-30.75
1529297167313159,84.5625,-80.875,-49.375
1529297167334086,102.25,-90.75,-68.5625
1529297167357355,124.81299999999999,-104.31299999999999,-88.1875
1529297167373188,149.438,-121.56299999999999,-105.56299999999999
1529297167394330,170.938,-139.875,-120.625
1529297167417410,187.875,-158.25,-131.125
1529297167433196,198.313,-176.438,-138.563
1529297167454303,192.25,-192.313,-144.688
1529297167478480,176.188,-200.188,-149.75
1529297167493440,157.313,-198.938,-146.563
1529297167514619,152.25,-189.813,-137.875
1529297167536552,146.0,-178.313,-121.18799999999999
1529297167553460,121.625,-185.0,-107.56299999999999
1529297167574456,116.06299999999999,-186.688,-97.5625
1529297167596401,128.625,-178.813,-83.25
1529297167613299,120.375,-164.313,-65.125
1529297167634280,110.18799999999999,-138.0,-40.6875
1529297167657234,99.0,-117.06299999999999,-13.5
1529297167673140,55.4375,-98.9375,4.875
1529297167694129,-210.938,-55.125,38.0625
1529297167717082,-343.31300000000005,50.5625,-39.5625
