timestamp,x,y,z
1529308286175666,52.0625,-14.5625,89.625
1529308286198606,42.875,-5.5625,119.81299999999999
1529308286220547,34.9375,-0.1875,147.75
1529308286243485,43.75,3.9375,177.375
1529308286258447,52.25,7.5625,205.0
1529308286281385,42.75,13.125,231.563
1529308286303328,44.5625,22.3125,253.313
1529308286318313,29.625,24.5625,272.75
1529308286348206,11.5,20.75,286.75
1529308286371145,13.875,18.0,291.313
1529308286386107,34.875,11.3125,295.0
1529308286401118,57.75,7.8125,290.25
1529308286423007,68.9375,0.125,274.625
1529308286438964,60.5625,-7.3125,238.313
1529308286460904,59.375,-16.875,205.563
1529308286475892,95.5,-23.5,185.313
1529308286490863,123.56299999999999,-28.5625,163.188
1529308286513767,126.125,-24.125,131.938
1529308286535705,112.25,-28.8125,108.5
1529308286550664,97.25,-35.375,76.125
1529308286573603,96.25,-44.4375,42.9375
1529308286595579,93.1875,-47.875,12.5625
1529308286618483,96.5,-51.3125,-8.0
1529308286641640,78.4375,-55.5,-21.5625
1529308286671408,41.4375,-59.3125,-18.4375
1529308286694232,36.6875,-74.5,-30.0625
1529308286716004,-1.6875,-71.0625,-51.4375
1529308286731296,23.125,-63.75,-51.8125
1529308286753751,-22.6875,-16.0,21.5625
1529308286775935,91.4375,24.875,55.0625
1529308286791138,-68.4375,14.5625,49.6875
1529308286813870,-105.06299999999999,12.8125,33.375
1529308286835802,-45.5625,17.375,28.0
1529308286851803,15.0625,20.4375,27.75
1529308286873960,45.3125,23.1875,18.6875
1529308286896382,19.4375,10.75,5.25
1529308286911374,-27.8125,-1.25,-8.1875
1529308286933277,-47.1875,-11.375,-10.5625
1529308286956178,-13.875,-12.3125,-22.75
1529308286971416,13.0,-30.9375,-50.0625
1529308286994150,-7.75,-16.9375,-89.1875
1529308287016058,-77.875,-45.0,-70.6875
1529308287031435,17.125,3.8125,14.875
1529308287053449,37.125,10.8125,18.5
1529308287076653,-71.25,4.125,8.5625
1529308287091597,-31.75,7.1875,4.4375
1529308287121526,36.25,19.5,34.0
1529308287144251,43.875,26.375,34.375
1529308287166407,13.125,21.25,22.25
1529308287181402,-14.25,4.3125,11.0625
1529308287211326,-11.875,-6.875,-6.5
1529308287256444,21.8125,-16.6875,-22.25
1529308287323518,35.5625,-37.25,-105.875
1529308287353438,51.375,28.625,49.25
1529308287376377,-60.5,4.625,-4.1875
1529308287413286,-58.625,10.5625,-14.875
1529308287443253,7.75,25.0625,-12.4375
1529308287481150,-34.9375,45.4375,-32.0
1529308287496091,-81.5,47.5,-45.0
1529308287533013,-53.3125,71.8125,-76.875
1529308287555949,-52.875,82.9375,-89.5
1529308287593825,-73.9375,83.375,-127.06299999999999
1529308287616769,-88.0,78.8125,-150.813
1529308287653637,-75.25,62.875,-178.313
1529308287676148,-60.1875,46.25,-192.0
1529308287720764,-70.8125,12.6875,-218.688
1529308287743962,-67.1875,-6.8125,-227.188
1529308287804129,-19.1875,-62.625,-239.813
1529308287834045,33.6875,-79.5625,-218.625
1529308287855785,58.8125,-82.75,-202.5
1529308287893689,41.875,-123.25,-224.875
1529308287916667,-9.0,-105.875,-185.063
1529308287953805,-91.5,109.06299999999999,75.4375
1529308287976727,-119.75,55.125,54.5625
1529308287991016,-161.938,21.125,37.4375
1529308288005777,-27.8125,1.375,28.1875
1529308288028909,81.5,-10.3125,14.5625
1529308288051710,116.31299999999999,-21.4375,5.75
1529308288073804,125.68799999999999,-26.1875,-10.25
1529308288088503,101.68799999999999,-27.4375,-23.875
1529308288126407,61.9375,-19.5625,-34.3125
1529308288148375,32.3125,-9.9375,-34.5
