timestamp,x,y,z
1528186529544688,-57.875,26.625,73.375
1528186529567627,-68.0625,24.625,105.31299999999999
1528186529611509,-57.5625,23.8125,138.0
1528186529620485,-32.0,26.75,168.875
1528186529628464,-3.6875,26.125,198.063
1528186529648415,19.3125,27.375,228.625
1528186529670352,42.5625,31.625,255.875
1528186529688304,58.0625,36.9375,283.25
1528186529708250,62.25,42.0,312.125
1528186529726204,60.25,41.5,333.125
1528186529749141,56.4375,43.25,352.31300000000005
1528186529768090,58.75,42.8125,360.625
1528186529786043,64.375,33.5625,359.43800000000005
1528186529808982,63.875,22.1875,352.5
1528186529827931,65.9375,15.0625,343.31300000000005
1528186529845883,71.625,16.4375,329.0
1528186529875803,84.9375,22.5625,306.313
1528186529889765,93.25,23.625,278.813
1528186529905723,79.875,21.6875,251.0
1528186529927664,57.875,15.75,230.25
1528186529950605,45.75,12.5625,214.938
1528186529972544,51.0,8.375,197.063
1528186529987505,53.0625,2.9375,183.125
1528186530008448,48.0625,-2.25,173.813
1528186530025404,44.9375,-5.375,162.5
1528186530048342,65.25,-10.3125,133.125
1528186530069285,86.25,-25.5,115.625
1528186530085243,98.5625,-30.75,105.18799999999999
1528186530108182,129.438,-29.375,88.8125
1528186530129126,176.625,-16.75,62.0625
1528186530145083,159.0,-4.25,39.0
1528186530175005,108.875,4.3125,28.875
1528186530188965,61.6875,2.5625,45.1875
1528186530204923,-15.9375,-11.5625,40.625
1528186530227862,-117.875,-19.75,22.0
1528186530248842,-158.063,-22.25,11.875
1528186530264764,-123.18799999999999,-14.875,8.9375
1528186530303660,-70.9375,-4.375,-1.75
1528186530308647,-31.8125,-0.9375,-5.25
1528186530324606,-20.4375,3.0625,-1.375
1528186530355521,-19.125,14.375,-2.4375
1528186530376470,-20.5625,23.3125,-8.375
1528186530384463,-10.3125,16.5625,-14.3125
1528186530408380,-4.875,-0.5,-7.25
1528186530430321,17.125,-13.4375,-4.0
1528186530444283,37.5,-26.75,0.0625
1528186530468265,47.1875,-34.4375,-5.875
1528186530490161,46.0625,-32.4375,-15.5
1528186530505121,75.75,-32.6875,-18.75
1528186530528060,96.6875,-20.5,-15.5625
1528186530555984,127.25,-1.25,-5.375
1528186530572004,149.313,8.5,4.0
1528186530593884,115.56299999999999,9.0625,10.125
1528186530610839,34.0625,-3.5,21.5
1528186530632780,-72.4375,-9.9375,17.375
1528186530653883,-136.125,-9.6875,7.125
1528186530670922,-126.31299999999999,-4.5625,-5.375
1528186530692620,-64.6875,3.5,-15.25
1528186530713814,4.9375,11.8125,-28.5625
1528186530729586,28.3125,10.0625,-35.875
1528186530760453,8.1875,3.875,-37.75
1528186530781382,-23.9375,-2.875,-36.9375
1528186530789515,-58.5625,-8.0625,-41.625
1528186530813297,-88.6875,-11.8125,-57.0
1528186530834506,-100.31299999999999,-14.5,-74.5625
1528186530849201,-102.31299999999999,-11.5625,-96.125
1528186530873138,-102.875,-6.625,-129.5
1528186530903057,-109.5,-5.25,-164.438
1528186530910039,-120.81299999999999,-11.25,-195.313
1528186530932995,-114.56299999999999,-17.3125,-216.688
1528186530954918,-93.875,-24.1875,-234.563
1528186530969880,-80.4375,-34.5,-252.75
1528186530992817,-85.25,-46.375,-270.0
1528186531015760,-100.625,-56.3125,-288.625
1528186531029719,-117.0,-61.4375,-307.125
1528186531060636,-110.75,-64.25,-321.563
1528186531075596,-88.5,-65.6875,-330.25
1528186531096795,-69.875,-72.375,-329.375
1528186531113587,-62.5625,-78.1875,-320.813
1528186531135441,-61.9375,-82.3125,-315.188
1528186531156380,-58.625,-83.9375,-309.875
1528186531172944,-59.5,-84.8125,-300.563
1528186531195575,-57.25,-79.375,-286.875
1528186531217189,-43.25,-70.75,-269.688
1528186531232974,-27.4375,-66.1875,-254.063
1528186531255318,-15.5625,-59.25,-240.063
1528186531276904,-6.4375,-49.5625,-224.313
1528186531292802,-0.0625,-41.1875,-206.375
1528186531315740,-1.5,-34.125,-187.875
1528186531336929,-16.3125,-30.9375,-169.125
1528186531352956,-42.5,-29.0625,-148.125
1528186531375149,-66.25,-26.3125,-121.0
1528186531397107,-88.3125,-23.0625,-89.375
1528186531420774,-109.93799999999999,-20.3125,-58.375
