timestamp,x,y,z
1528876568707290,-5.0625,1.8125,9.9375
1528876568730228,-27.875,13.5625,27.25
1528876568752170,-48.625,30.0,58.125
1528876568770122,-62.125,42.0,90.6875
1528876568790068,-35.1875,53.0625,125.18799999999999
1528876568812011,0.125,71.75,164.188
1528876568828026,15.3125,92.5,201.125
1528876568857889,25.0,116.81299999999999,240.438
1528876568880827,29.9375,137.25,279.375
1528876568887808,36.8125,145.625,324.125
1528876568925068,94.875,152.563,407.18800000000005
1528876568946993,140.75,149.813,434.43800000000005
1528876568969895,170.813,149.438,445.125
1528876568992835,185.313,146.625,440.0
1528876569007804,189.813,136.125,416.0
1528876569029767,183.313,129.438,365.43800000000005
1528876569052676,170.188,125.0,309.813
1528876569067672,159.063,114.25,258.688
1528876569089576,146.938,94.25,218.188
1528876569112515,125.68799999999999,64.875,182.0
1528876569127476,95.4375,28.8125,146.063
1528876569150414,63.625,-11.5625,109.0
1528876569172383,36.6875,-51.6875,76.375
1528876569195293,12.8125,-89.125,55.25
1528876569217268,-12.0,-119.875,31.25
1528876569247180,-70.375,-153.813,-9.6875
1528876569270104,-90.5625,-157.0,-29.0
1528876569292034,-92.1875,-148.75,-57.25
1528876569306995,-89.75,-137.25,-79.0
1528876569329934,-76.9375,-128.0,-79.9375
1528876569352874,-66.4375,-36.0625,-59.625
1528876569367833,-41.375,63.0,-14.875
1528876569389818,-13.875,44.3125,-28.3125
1528876569412713,-25.5625,-24.1875,-12.5
1528876569427673,-20.0,-24.625,8.5
1528876569449613,29.875,8.625,14.0
1528876569472551,80.6875,33.5,34.9375
1528876569487511,78.75,57.75,48.875
1528876569509453,51.4375,78.5625,47.0625
1528876569532427,40.4375,95.125,53.375
1528876569547392,42.6875,99.625,60.625
1528876569570290,37.625,101.43799999999999,57.875
1528876569592235,45.8125,85.0625,48.75
1528876569607196,67.3125,46.1875,40.5625
1528876569630393,91.3125,-13.75,23.875
1528876569652399,78.0,-76.5625,14.375
1528876569697305,-20.125,-179.688,-20.25
1528876569720501,-59.6875,-208.125,-34.125
1528876569750706,-99.0,-239.25,-68.625
1528876569780275,-87.5625,-243.75,-86.8125
1528876569809861,74.1875,32.4375,-36.375
1528876569832804,16.75,67.375,-66.8125
1528876569869493,-74.75,-28.9375,6.0
1528876569900327,-26.3125,-23.6875,7.3125
1528876569952233,54.1875,21.4375,-5.5625
1528876569990389,-7.4375,9.125,20.4375
1528876570005353,-14.75,18.875,15.4375
1528876570035269,-4.875,31.9375,15.875
1528876570050544,-7.3125,45.9375,19.9375
1528876570072522,-8.6875,59.9375,22.3125
1528876570087486,-11.0625,77.1875,23.0625
1528876570110673,-16.375,94.8125,14.25
1528876570125384,-33.9375,107.06299999999999,3.6875
1528876570147491,-47.0625,119.81299999999999,-6.5625
1528876570170676,-54.0,117.18799999999999,-16.5625
1528876570185583,-55.375,106.68799999999999,-25.875
1528876570207547,-60.0625,93.0,-42.3125
1528876570222511,-63.4375,80.375,-65.3125
1528876570245447,-60.0625,67.8125,-92.125
1528876570274372,-58.125,50.625,-119.625
1528876570290326,-75.25,27.6875,-145.75
1528876570312528,-106.5,4.6875,-171.75
1528876570327231,-138.313,-8.875,-198.563
1528876570342201,-151.813,-13.875,-224.688
1528876570365126,-151.75,-20.5625,-246.063
1528876570388145,-142.25,-33.5,-258.938
1528876570410251,-119.75,-45.6875,-270.438
1528876570425279,-93.9375,-48.25,-274.313
1528876570447451,-79.625,-52.5,-273.813
1528876570469733,-73.625,-63.0,-273.875
1528876570484737,-57.3125,-75.9375,-268.813
1528876570507891,-42.5625,-88.4375,-261.25
1528876570537815,-30.875,-104.25,-255.625
1528876570552777,-33.0625,-119.56299999999999,-240.688
1528876570589675,-7.1875,-136.688,-243.688
1528876570604636,30.4375,-139.5,-245.625
1528876570627574,72.4375,-145.938,-236.875
1528876570649568,125.56299999999999,-150.438,-215.938
1528876570664475,182.063,-150.5,-188.5
1528876570687416,206.375,-108.75,-149.375
1528876570709356,141.063,6.5,-107.06299999999999
1528876570725314,-112.75,6.5625,-98.3125
1528876570747257,-429.25,54.5,-6.375
1528876570770242,-438.06300000000005,49.6875,42.4375
1528876570792180,-265.688,32.4375,59.0
1528876570815118,-103.56299999999999,22.6875,85.9375
